PARAM1_STR,PARAM1_NUM,CATEGORY,PARAM2_STR,PARAM2_NUM,ORDER_NUM,VALID_FLG,COMMENTS
,311,"SUBJECT_ID_TO_PID","b61634",,1,"Y",
,312,"SUBJECT_ID_TO_PID","b82874",,1,"Y",
,313,"SUBJECT_ID_TO_PID","b70070",,1,"Y",
,314,"SUBJECT_ID_TO_PID","b63314",,1,"Y",
,315,"SUBJECT_ID_TO_PID","b80137",,1,"Y",
,316,"SUBJECT_ID_TO_PID","b80522",,1,"Y",
,317,"SUBJECT_ID_TO_PID","b70723",,1,"Y",
,318,"SUBJECT_ID_TO_PID","b72081",,1,"Y",
,319,"SUBJECT_ID_TO_PID","b86716",,1,"Y",
,320,"SUBJECT_ID_TO_PID","b66005",,1,"Y",
,321,"SUBJECT_ID_TO_PID","b70514",,1,"Y",
,321,"SUBJECT_ID_TO_PID","b68112",,2,"Y",
,322,"SUBJECT_ID_TO_PID","b84386",,1,"Y",
,323,"SUBJECT_ID_TO_PID","b63105",,3,"Y",
,323,"SUBJECT_ID_TO_PID","b82426",,1,"Y",
,323,"SUBJECT_ID_TO_PID","b78038",,2,"Y",
,324,"SUBJECT_ID_TO_PID","b60932",,1,"Y",
,325,"SUBJECT_ID_TO_PID","b89318",,1,"Y",
,326,"SUBJECT_ID_TO_PID","b84074",,1,"Y",
,327,"SUBJECT_ID_TO_PID","b64917",,1,"Y",
,328,"SUBJECT_ID_TO_PID","b74065",,1,"Y",
,329,"SUBJECT_ID_TO_PID","b80071",,1,"Y",
,330,"SUBJECT_ID_TO_PID","b75187",,1,"Y",
,331,"SUBJECT_ID_TO_PID","b72589",,1,"Y",
,332,"SUBJECT_ID_TO_PID","b78387",,1,"Y",
,333,"SUBJECT_ID_TO_PID","b81875",,1,"Y",
,334,"SUBJECT_ID_TO_PID","b76629",,1,"Y",
,335,"SUBJECT_ID_TO_PID","b61703",,1,"Y",
,336,"SUBJECT_ID_TO_PID","b80905",,1,"Y",
,337,"SUBJECT_ID_TO_PID","b73222",,1,"Y",
,338,"SUBJECT_ID_TO_PID","b89951",,1,"Y",
,339,"SUBJECT_ID_TO_PID","b83268",,1,"Y",
,339,"SUBJECT_ID_TO_PID","b89394",,2,"Y",
,339,"SUBJECT_ID_TO_PID","b87550",,3,"Y",
,340,"SUBJECT_ID_TO_PID","b70964",,1,"Y",
,341,"SUBJECT_ID_TO_PID","b65233",,1,"Y",
,342,"SUBJECT_ID_TO_PID","b74537",,1,"Y",
,343,"SUBJECT_ID_TO_PID","b75172",,1,"Y",
,344,"SUBJECT_ID_TO_PID","b82309",,1,"Y",
,345,"SUBJECT_ID_TO_PID","b84721",,1,"Y",
,346,"SUBJECT_ID_TO_PID","b84027",,1,"Y",
,346,"SUBJECT_ID_TO_PID","b86006",,2,"Y",
,347,"SUBJECT_ID_TO_PID","b66001",,1,"Y",
,348,"SUBJECT_ID_TO_PID","b70505",,1,"Y",
,349,"SUBJECT_ID_TO_PID","b68644",,1,"Y",
,350,"SUBJECT_ID_TO_PID","b67652",,1,"Y",
,351,"SUBJECT_ID_TO_PID","b74966",,1,"Y",
,352,"SUBJECT_ID_TO_PID","b82037",,1,"Y",
,353,"SUBJECT_ID_TO_PID","b71834",,4,"Y",
,353,"SUBJECT_ID_TO_PID","b89397",,1,"Y",
,353,"SUBJECT_ID_TO_PID","b86484",,2,"Y",
,353,"SUBJECT_ID_TO_PID","b79307",,3,"Y",
,354,"SUBJECT_ID_TO_PID","b73945",,1,"Y",
,355,"SUBJECT_ID_TO_PID","b79435",,1,"Y",
,356,"SUBJECT_ID_TO_PID","b69623",,1,"Y",
,357,"SUBJECT_ID_TO_PID","b80850",,1,"Y",
,358,"SUBJECT_ID_TO_PID","b76090",,1,"Y",
,359,"SUBJECT_ID_TO_PID","b70499",,1,"Y",
,360,"SUBJECT_ID_TO_PID","b65882",,1,"Y",
,361,"SUBJECT_ID_TO_PID","b82399",,1,"Y",
,362,"SUBJECT_ID_TO_PID","b75619",,1,"Y",
,363,"SUBJECT_ID_TO_PID","b70559",,1,"Y",
,364,"SUBJECT_ID_TO_PID","b72414",,1,"Y",
,365,"SUBJECT_ID_TO_PID","b76906",,1,"Y",
,366,"SUBJECT_ID_TO_PID","b78241",,1,"Y",
,367,"SUBJECT_ID_TO_PID","b84031",,1,"Y",
,368,"SUBJECT_ID_TO_PID","b75094",,2,"Y",
,368,"SUBJECT_ID_TO_PID","b78978",,1,"Y",
,369,"SUBJECT_ID_TO_PID","b61155",,1,"Y",
,370,"SUBJECT_ID_TO_PID","b62103",,1,"Y",
,371,"SUBJECT_ID_TO_PID","b85284",,1,"Y",
,372,"SUBJECT_ID_TO_PID","b62046",,1,"Y",
,373,"SUBJECT_ID_TO_PID","b86952",,1,"Y",
,374,"SUBJECT_ID_TO_PID","b89371",,1,"Y",
,375,"SUBJECT_ID_TO_PID","b80015",,1,"Y",
,376,"SUBJECT_ID_TO_PID","b69766",,1,"Y",
,377,"SUBJECT_ID_TO_PID","b65370",,1,"Y",
,378,"SUBJECT_ID_TO_PID","b77401",,1,"Y",
